message,user_id,class_id,op_tags,sum_content_text
"用户：老师，何禾请假三天出去玩了
用户：何禾还没回来
用户：老师，何禾再请假两天，再玩两天才回来
用户：回来了我让他补课
老师：这是一条引用/回复消息：
""老师，何禾再请假两天，再玩两天才回来""
------
后天补哈奶奶
用户：放心吧，回来了就补课
老师：好的，奶奶只是说有时候可能这边给孩子请了假，但是不小心又会给您发的消息都有打扰，然后所以说先给您说声不好意思嘛，然后您就忽略就可以了，到时候宝贝回来的话，您就正常带他补课。
用户：没关系，好的",67223198,61442,M7,"课程表现：
行为习惯：
生活情况：孩子何禾由奶奶照顾，目前请假出去玩
家长需求：
规划安排：孩子回来后进行补课
沟通态度：回复积极"
"用户：左天他自己阅读的，还想着完成了呢，今天再读一遍
老师：咱们今天补上就可以啦
用户：还早呢，先不考虑三阶
用户：何禾和他妈妈在一起，不在奶奶家，他回来了再补课
用户：何禾跟他爸妈在一起，等回来了再补课",67223198,61442,M2,"课程表现：孩子有自主阅读意识并完成阅读
行为习惯：
生活情况：孩子和爸妈在一起，不在奶奶家
家长需求：
规划安排：暂时不考虑三阶课程，等孩子回来再补课
沟通态度：主动沟通"
"用户：已完成
用户：老师，每个周五放学后何禾都跟他爸妈回他们家，周日晚上回奶奶家，他只有在奶奶家才能学。拉下课我会让他补上
老师：好的哈，何何妈妈没问题哦。
老师：那晚上的话就会带着禾禾去补读了哈。
用户：何禾还没回来呢
老师：好，那何何妈妈，那等宝贝儿回来了，再带着宝贝儿补啊。",67223198,61442,M5,"课程表现：
行为习惯：
生活情况：孩子周五放学后跟爸妈回家，周日晚回奶奶家，在奶奶家学习
家长需求：
规划安排：
沟通态度：回复积极"
"用户：知道了
用户：已完成了",67223198,61442,M3,"课程表现：
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度：回复积极"
"用户：何禾今天请假
老师：明天补吗
用户：请假三天
老师：禾禾为啥要请那么久呀奶奶
老师：出去玩了吗
用户：是的
老师：思思，宝贝儿，你回来啦。",67223198,61442,M6,"课程表现：
行为习惯：
生活情况：孩子由奶奶照顾，孩子请假三天出去玩
家长需求：
规划安排：
沟通态度：回复积极"
用户：知道了,67223198,61442,M5,"课程表现：
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度：回复简单，未体现积极或消极倾向"
"老师：奶奶您先了解下，这一次报还是下一次报名也好，总要先了解内容哈
用户：还行
用户：有问题。说吧，因为我一定完成啊，没问题，有问题没问题。
用户：小侄女，姐业今天的故事怎么还没解锁呀？
老师：今天的故事是未解锁的状态码
老师：今天的故事是未解锁的状态吗？
用户：已解锁
老师：[OK]好的奶奶",67223198,61442,M7,"课程表现：
行为习惯：
生活情况：孩子由奶奶照顾
家长需求：
规划安排：
沟通态度：回复积极"
"用户：何禾周天和他爸爸妈妈在一起，不在我这边，等他回来了再补
用户：季度小测已完成
老师：好勒好勒，辛苦啦，我在下周之前也会慢慢反馈咱们宝贝的一个完成情况的。
用户：绘本已收到
老师：可可，你真棒，姐姐收到你昨天完成的小游戏啦，全正确哟。
用户：何禾和他爸爸妈妈在一起，等他回来了我让他补上
用户：小知老师，我们收到了五，六月份和九，十月份的绘本，没收到八九月份的
老师：何何奶奶，最近这个快递确实有点问题，他就提前把90主题月的给您寄出去了，正常来说要起码要后面嗯，三四个月才发这个绘本的，咱们如果现在先收到的话，您就是先把它保留好嘛，后面如果说有什么问题的话，还会申请，还可以去申请补发的。
用户：知道了",67223198,61442,M4,"课程表现：孩子完成季度小测，小游戏完成且全正确，周天未在家长处课程待补
行为习惯：
生活情况：孩子由奶奶照顾，周天和爸爸妈妈在一起
家长需求：
规划安排：
沟通态度：回复积极，主动反馈孩子课程情况和绘本问题"
"老师：禾禾奶奶这个是咱们本次寄送的物流清单，您空了核对一下哦
用户：都收到了
用户：已关注
用户：已完成",67223198,61442,M0,"课程表现：
行为习惯：
生活情况：孩子由奶奶照顾
家长需求：
规划安排：
沟通态度：回复积极"
"老师：何禾，宝贝好棒呀，全部都做对了哟，宝宝。
老师：图子宝贝儿早上好，不好意思，昨天小弟姐姐已经休息啦，所以说没有及时回答你的消息，那你的汇报互动我已经收到啦，我觉得你是一个非常有意力的小朋友，每天都在坚持完成这个，嗯，这一点的话我觉得特别的棒，然后昨天的绘本里面啊，基本上宝贝的题目都是做对的，然后有一个神奇农场，这里我们再仔细的去结合故势看一下到底豆豆经历了哪一些事情，然后去看一下到底有没有跟爸爸一起啊烤面包呢？
老师：呵呵，宝贝儿，你真是火眼金睛啊，昨天帮豆豆找到了他参观的对应的神奇的房子，然后小智姐姐看到你自己画的房子也很特别，是整个的，然后门前的话，是不是还有一片绿油油的草地呀？
老师：嗯，宝贝儿，今天绘本又认真完成了，小季姐给你点赞哟。
老师：呵呵，宝贝早上好，新的一周已经开始了，小智姐姐看到你昨天绘本完成的特别的积极呢，看到你的作品我也特别的开心，那期待我们的何和宝贝每天都能够给小朋几个线下你的课子做个评。",67223198,61442,M6,"课程表现：孩子完成课程情况良好，题目基本做对，完成绘本积极，有专注力且有自己的想法
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度："
