message,user_id,class_id,op_tags,sum_content_text
"用户：差点忘传了
用户：晚上让她选一下
老师：好滴
用户：选了跳绳啦
用户：这个活动是扫哪个码呀
老师：这个
用户：已经学完啦[呲牙]",19126754,61442,M6,"课程表现：孩子已学完课程
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度：回复积极"
"老师：收到那暖宝的阅读报告啦，咱们暖宝是前期小达人，那今天的阅读也完成的很棒，我们知道了怎么去处理是望的一个情绪，然后姐姐听你的三要素回顾也是说的棒棒的。
用户：感恩
用户：老师，那个题做了
老师：好的好的，辛苦了，下周我也会针对于小朋友的一个完成情况统一进行反馈的哈。
用户：这是什么时候测验的呀
老师：就是上周五宝贝完成的那个季度小测试，它是针对于我们前三个月的一个内容的一个回顾，我这边看到蓝宝他能够把所有的小问题都能够做到全正确，真的是非常厉害的，因为说实话，对于我们大人来说，可能三个月的一个内容或多或少自己都有点遗忘了，但是宝贝他能把这些东西全做正确的话，说明自己的阅读过程当中确实是非常认真，专注力也是非常高的。而且啊，最后一个就是考三要素表达，宝贝他甚至还能够想的出他是水马池草做的这个衬衫，这个细节上也是把控的特别到位的，妈妈一定要多夸一夸我们暖宝。
用户：好的呢，老师
用户：已确认
老师：好嘞
用户：刚刚学完
用户：在回家的路上睡着了，回家醒了学
老师：好的呢，今天是不是幼儿园活动有点累了呀？先好好休息嘛。
用户：嗯呢上午拍球了
用户：好的呢，她还没放学
老师：好滴[耶]",19126754,61442,M4,"课程表现：孩子是阅读前期小达人，阅读完成度高，季度小测试全正确，三要素表达细节把控到位
行为习惯：
生活情况：孩子上幼儿园，当天上午参加拍球活动，还未放学
家长需求：
规划安排：
沟通态度：回复积极"
"用户：这个三阶的价格调整要结束前麻烦老师通知一下，这个月续订了两个叫叫产品，属实是有点多，希望公司能在延期延期
用户：我主要这个月交的太多了[捂脸]能不弄跟公司说一下延迟一下呀
用户：这个月还换了幼儿园也是开销有点多
用户：延迟到下个月也行
用户：我就是说那个价钱还会是1700了吗
用户：啊啊，那行我合计合计
用户：正在学着呢
用户：截止到哪天老师
用户：30号吗？
老师：对的呢
用户：那行，我在等几天
用户：她忘了为啥不开口了，没说明白
用户：我月末交钱
用户：三阶这回都送的是什么来着
老师：这些内容哦
用户：等到快结束的时候您再提醒我一下
老师：好嘞
用户：续订链接再发一下呗
老师：妈妈点这个链接，支付的时候是1700就没有问题了。
老师：好的~给妈妈登记好啦
用户：绘本已收到
老师：好嘞~
用户：现在就学呢，今天晚上在学校学了一节表演课，放学晚又在外面玩了，才回家没一会[偷笑]",19126754,61442,M2,"课程表现：
行为习惯：
生活情况：本月换了幼儿园开销大，孩子今晚在学校学表演课，放学晚还在外面玩后才回家
家长需求：希望公司延期三阶课程续订，关注价格和赠品
规划安排：月末交钱续订三阶课程，希望老师快截止时提醒
沟通态度：回复积极，主动沟通"
"用户：她学别的思维了
用户：我看他图片题总是错",19126754,61442,M3,"课程表现：孩子图片题总是出错
行为习惯：
生活情况：
家长需求：
规划安排：孩子正在学习别的思维课程
沟通态度：主动沟通"
"用户：好的，应该是快学完啦
老师：好的宝贝妈妈。
老师：我们宝贝儿最乖了啊。",19126754,61442,M6,"课程表现：
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度：回复积极"
"用户：我记得前一阵叫叫商城里有笔和本，现在是没有了吗
老师：商城不定时更新的
用户：收到回家就学
用户：这个还没发货，是因为我确定晚了吗
老师：一定是确定后15个工作日内哦
用户：我周一确定的[捂脸]我看后面的都发出来了
用户：是不是得周日确定才行啊
老师：早点确定就是早点安排的
老师：可以周五审核成功了就确认
用户：她这两天不爱回答问题
用户：说的那部分，这半年基本就不回答
老师：难怪表达部分听不到声音
老师：我还以为是没有录进去
用户：没，她就是不说
用户：但是她的表达能力还是可以的
老师：目前我们是进行到五要素的一个跟读了，有的时候像线上最长说一次，孩子不能够完全记住，然后他再去进行复述，我建议妈妈可以尝试着就是您先说一次，然后再让宝贝去说这样的话，让小朋友慢慢去练一个，他只要生活中的一个表达是没有问题，是愿意说的，那就没有什么问题的，所以说你也不用太担心了，可能就是我要做的一个复述，一次性可能宝贝说不说不太完，所以他就不想说。
用户：她最近就是不爱回答视频的问题
老师：男宝你好，我是小机智姐，今天的话小弟姐姐看到你又跟我们这个见面啦，怎么样呀？最近喜不喜欢娇娇呀？
老师：我给宝贝留个语音
用户：好的我一会给她听
用户：喜欢呀。
老师：楠楠宝贝现在也非常的喜欢你，有我喜欢到你每天都在认真完成阅读，照照和小学姐姐都特别开心的。
老师：然后我有一个问题想要问你，就是我觉得你的声音很洪亮，很好听，但是我们在跟娇娇见面的时候，为什么有的时候不想给娇娇说话呀？
用户：And.因为我不想喝。然后叫大家一起说话。我也不擅长说话和读故事。
老师：但是我觉得你嗯表达的很好呀，就像现在你跟小姐姐姐说话，声音又洪亮又好听，我觉得我好喜欢你说话呀，而且像你如果说嗯，今天就是跟这个见面了，你给娇娇说话，小七西也能够听到，其实我每天都很想要听到你的声音。
老师：我们南早可不可以明天再读，叫叫的时候大声的去说话呀，到时候嗯，娇娇听到也会很高兴的来告诉小智姐姐的，而且您大声说话，教教也会讲扬你说宝贝表达的真好。
老师：最近呀，我们跟着娇娇说话，一些句子可能会比较难，但是呢，我们可以慢慢的跟着妈妈一起去分开去说，然后再把它变成一句话，因为我觉得暖宝是一个小勇士，我觉得你一定可以战胜他的，你自己有没有信心呀？
用户：行。
老师：好干脆
用户：谢谢，我想谢谢。
老师：好的，我相信你一定可以的，我们都是诚实守信的好宝贝，那我们收到的就一定会做到。
老师：男宝，男宝，你今天记得跟娇娇和优惠姐姐见面哦。
用户：等她放学回家给她听语音[呲牙]
用户：马上马上谢谢提醒",19126754,61442,M7,"课程表现：孩子表达能力尚可，但近半年表达部分不爱回答问题，最近不爱回答视频问题，不擅长说话和读故事
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度：回复积极，主动沟通"
"用户：已完成
用户：好的，一会我回家让她录一个
用户：是她还挺喜欢叫叫的，平时还会看赠送的那些电子绘本
用户：好的呢，老师晚上放学回家就看
用户：还没到家呢，到家就学
用户：好的一会在让她试一下
用户：马上到家了，今天回家晚咯，到家就学[愉快]
用户：好的呢正学着呢
用户：暖宝收到了
用户：正学着呢，今天回家晚了
用户：她今天学的不太认真[捂脸]
用户：是她今天应该不在状态，纸质书都读过了
用户：大多数都认识呢
老师：[强][强]妈妈可以先收藏起来，后面作为回顾
用户：分享到朋友圈有时间要求吗
老师：现在没有啦，直接分享海报后，截个图立即上传就行
用户：一会回家就阅读
用户：那我们一定能得到呢
用户：嗯呢，我会监督她的呢
用户：好的，还没到家呢
用户：她错的那道题我跟她说话干扰她了
用户：她还没放学呢，等一会到家了就学",19126754,61442,M0,"课程表现：孩子喜欢叫叫，会看赠送电子绘本，当天学习不太认真、不在状态，但纸质书内容大多认识
行为习惯：
生活情况：家长需等孩子放学回家监督学习，当天回家较晚
家长需求：家长关心孩子课程学习，希望孩子完成课程相关任务并获得奖励
规划安排：
沟通态度：回复积极，主动沟通课程学习安排"
"老师：陈宝，你今天阅读又按时完成了，每天都是我们群里面最积极的小朋友呢，小姐因为您感到开心哦。
用户：好的还没放学
用户：老师，我怎么找不到一阶的阅读了，不是说不过期吗
用户：这个是不发货了吗
老师：您好，妈妈这个的话就是，嗯，正常情况下，我们在那个确认了地址之后，15个工作日内会发出，因为参与的人比较多嘛，然后有缺货的情况下的话，就会稍晚一些，但是放心哈，都是会那个的这时候回家的。
用户：我那个一阶的阅读去哪里找呀
老师：叫叫app  我的 全部计划 已完成里面
用户：好的呢，晚上让她选",19126754,61442,M7,"课程表现：孩子阅读按时完成，在群里表现积极
行为习惯：
生活情况：孩子未放学
家长需求：家长关心课程资料发货情况和一阶阅读查找方式
规划安排：
沟通态度：回复积极，主动沟通"
"老师：是哪位小朋友这么积极呀？原来是我们暖宝一到家就完成了阅读呢，姐姐听到你今天开始学我们的4要素啦，什么时间，谁在哪儿做什么？姐姐看你都说的很棒哟。
用户：老师，叫叫阅读第二阶段是包括拼音了吗
用户：哦哦，因为我刚才说想买个拼音课，不让我买，说我有同类课了
用户：二阶阅读还有几个月呀
老师：现在才刚进入到5主题月呢，还有7个主题的内容哦
用户：哦哦这样啊，成长都兑换的过期吗
用户：三阶拼音是天天都有吗
老师：这是一条引用/回复消息：
""玉宛枫?：
哦哦这样啊，成长都兑换的过期吗""
------
一般是一年的有效期
用户：这样啊
老师：好呢 辛苦宝贝妈妈督促啦[拥抱]
用户：没事哒。她学的还挺好的，基本都是自学的，我就提醒一下下
老师：好的呢，宝贝妈妈没问题哦。
用户：好的呢，阅读今天的刚刚学完",19126754,61442,M5,"课程表现：孩子学习叫叫阅读表现不错，开始学4要素表述很棒，基本自学完成课程
行为习惯：
生活情况：
家长需求：家长关心叫叫阅读课程阶段内容，有给孩子购买拼音课的需求
规划安排：
沟通态度：回复积极，主动与老师沟通课程相关问题"
"用户：暖宝今天晚上回家会特别晚，今天的课学不上啦[偷笑]
老师：朋友，妈妈早上好，不好意思，因为昨天确实比较早嘛，现在才看到消息，嗯，那今天的话我们一定要就是嗯。先走当天的，然后再把昨天的给补上完了。
用户：没事没事的，好的好的
用户：好的，我今晚回家问问她
老师：好滴
用户：她选了彩笔
老师：宝贝已经选好了啊，选的是彩笔完，好累好累，那这边的话乖乖他每天按时完成完成完成我们的一个阅读嘛，然后到时候周五的话，嗯，妈妈再给宝宝去分享一下，然后我们就可以得到这样一个实习礼物了，然后下周的话也是一样的参与方法，然后还可以得实习礼物。
用户：正在学
老师：好的，妈妈先学完之后，您记得就是按照我上面给您发的那些呃，操作的步骤，然后帮忙宝贝领取那个礼物。
用户：好像过审了
用户：得亏点开看了一下，还得确定一下
老师：赶紧确定地址哦
用户：嗯嗯确定啦
用户：好的，回家让她看一下
老师：好滴
用户：她选的小宝玛丽",19126754,61442,M6,"课程表现：孩子正在学习课程，选了彩笔和小宝玛丽作为礼物，阅读分享过审
行为习惯：
生活情况：孩子晚上回家会很晚
家长需求：
规划安排：
沟通态度：回复积极"
