message,user_id,class_id,op_tags,sum_content_text
"用户：左天他自己阅读的，还想着完成了呢，今天再读一遍
老师：咱们今天补上就可以啦
用户：还早呢，先不考虑三阶
用户：何禾和他妈妈在一起，不在奶奶家，他回来了再补课
用户：何禾跟他爸妈在一起，等回来了再补课",67223198,61442,M2,"课程表现：孩子有自主阅读意识并完成阅读
行为习惯：
生活情况：孩子和爸妈在一起，不在奶奶家
家长需求：
规划安排：暂时不考虑三阶课程，等孩子回来再补课
沟通态度：主动沟通"
"用户：昨晚忘了[捂脸]
老师：[偷笑]那咱们今天记得补上哟
用户：好的，晚点哈
老师：恩恩~",62953985,61442,M2,"课程表现：
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度：回复积极，愿意配合老师补课程"
"用户：昨晚忘记了
用户：最近收到的包裹是啥？
老师：啊，不是，妈，可能是我们90月的那个绘本，好像是，呃，物流那边出了点问题，提前把90月的那个绘本发放了。",66895024,61442,M4,"课程表现：
行为习惯：
生活情况：
家长需求：
规划安排：
沟通态度：主动沟通"
"用户：昨晚玩的太晚了，今天补起来
老师：好咧
用户：好的，还有一课没有学完，太晚了孩子不愿意学[捂脸]
用户：最近我上班时间没有固定，下午上班，晚上回来蛮晚，没有监督他。
用户：好的，晚上补起来
用户：不好意思啊，没有看到，收到了，
老师：没事哒，好哟",67379835,61442,M2,"课程表现：孩子有一课没学完，因昨晚玩太晚且时间晚不愿学
行为习惯：
生活情况：家长上班时间不固定，下午上班，晚上回来晚，无法监督孩子
家长需求：
规划安排：计划晚上补完课程
沟通态度：回复积极"
"用户：昨晚突发状况
用户：本周内肯定学完
老师：好呢～
用户：季度测评提交后没有结果吗
老师：后面会统一做反馈的哟～",59852973,61442,M4,"课程表现：
行为习惯：
生活情况：昨晚突发状况，本周内学完课程
家长需求：关注季度测评结果
规划安排：
沟通态度：主动沟通"
"用户：昨晚去跳舞了
用户：好，有时间就补上
用户：奖励是什么？
老师：这是一条引用/回复消息：
""【奖励预告】
噔噔噔噔~铱铱姐姐又来送礼物啦~??
又到了咱们第二主题月的最后一周啦~
在【周天】之内全部完成可以获得5??张绘本次券和专属奖状一张~
如果宝贝非常认真，在【周六前】全部完成可以额外再获得3??张绘本次券哟。
期待宝贝收到礼物后的喜悦哟~加油~??""
------
绘本次券和奖状～",61327937,61442,M2,"课程表现：
行为习惯：
生活情况：孩子昨晚去跳舞了
家长需求：
规划安排：
沟通态度：回复积极"
"用户：昨晚出去了，回来晚了就没读
老师：好的，好的，了解了，那咱们今天尽量先把今天的内容读完，然后再去补读一下前面的内容嘛～
老师：贝贝妈妈，嗯，咱们放假期间出去玩儿，宝贝回来了没有呀？看宝贝最近没有来完成阅读呢，而且落下的有点多了哟，咱们有空带着宝宝来阅读不？
老师：这一周是我们第三主题的最后一周了，嗯，完成的话，我这边给宝贝准备了奖状，还有我们小猪佩奇的涂色卡片这些东西，嗯，您有空的话带着宝宝来补一补嘛。",66920849,61442,M3,"课程表现：孩子阅读课程进度落下较多
行为习惯：
生活情况：家长曾带孩子外出，导致孩子未完成阅读
家长需求：
规划安排：
沟通态度："
"用户：昨天转发忘了给你截图上传了  
老师：昨天是最后一天，而且今天问了也不能补了
用户：老师  怎么回看一阶内容
老师：这里面可以看到～
老师：没事儿没事儿～",67420043,61442,M4,"课程表现：
行为习惯：
生活情况：
家长需求：家长关心课程，有回看一阶内容的需求
规划安排：
沟通态度：回复积极"
"用户：昨天有事，今天补上
老师：好哒[爱心]
用户：2阶段才开始暂不续3阶般的
用户：已上传，怎样领成长豆
老师：审核通过自动发到账户哦
老师：我刚才查看后台没看见咱们上传了截图呀，您是不是点了”上传截图“后，它有个让您确认咱们没点呀
老师：您可以参考一下这位家长的",78080701,61442,M2,"课程表现：
行为习惯：
生活情况：
家长需求：家长关心孩子课程完成情况，询问成长豆领取方式
规划安排：孩子处于2阶段，家长暂不续报3阶段
沟通态度：回复积极"
"用户：昨天有点忙了
老师：好的好的，今天可以补上哦~
老师：宝贝妈妈，在咱们的绘本上哦
用户：没有绘本
老师：您这里查询一下绘本信息呢，是不是没取呢",72603274,62169,M1,"课程表现：
行为习惯：
生活情况：家长昨天忙，家里没有课程绘本
家长需求：
规划安排：
沟通态度：回复积极"
